taxon,life form,habitat,habit,clonality,perennial organ,plant height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf defence,leaf min width [cm],leaf max width [cm],leaf min length [cm],leaf max length [cm],inflorescence arrangement,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,petal fusion,petal colour,reproduction architecture,reproduction system,stamen count,stamen number,stamen arrangement,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,dispersule min width [cm],dispersule max width [cm],dispersule min length [cm],dispersule max length [cm],dispersal mode,dispersion axillary,seed colour,seeds max per fruit,seeds min per fruit,seed min width [mm],seed max width [mm],seed min length [mm],seed max length [mm],max seed volume,ploidy,ploidy level,root system,root depth type,root depth [cm],sources
Parnassia palustris,perennial;perennials;hemicryptophyte,"Seasonally wet meadows, fens, thickets, ditches, shores, rocky or gravelly seashores, wet rocks.",Stem erect ,Little or no vegetative spread;epigeogeneous stems,stem;stems;Stems,0.1;0.3;0.1-0.3;0.2; 0.075; 0.1,glabrous,glabrous,,,,rosettes;basal,simple;ovate,acute;ovate,cordate;rounded,entire;ovate,glabrous,0.4;1,3;5,0.6;1,4;5,,,,,,lanceolate;linear,white,,white,,hermaphrodite,6;5;5;1/2;7-15,,,4,,,insect,,,,,,,,,,   shaken fresh water;water;   commerce;   standing fresh water,filaments,,1338,100-1000,,,,,,,18,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 15, 'tabular': 14}, 'fna': {'text': 14, 'tabular': 1}}"
Pedicularis palustris,therophyte;strict monocarpic bi-annuals and poly-annuals;annual,Moist and wet dune slacks,Stem erect ,Little or no vegetative spread,Stem,0.34; 0.19; 0.08; 0.35;0.08-0.6;0.08;0.6,glabrous,glabrous,,,,opposite,oblong;dentate;compound,obtuse,,lobed and toothed,glabrous,2,4,2,4,raceme;spike,,,,,,pink,,,,hermaphrodite,4,,,,,,insect,,,,,,,,,,   shaken fresh water;water;   standing fresh water,,,20,10-100,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 12, 'tabular': 14}, 'fna': {'tabular': 0}}"
Pedicularis sylvatica,perennial;perennials;strict monocarpic bi-annuals and poly-annuals;hemicryptophyte,Wet meadows.;Moist or wet oligotrophic grassland,Stem erect ;Stem ascending to prostrate ,Little or no vegetative spread,tap root;Stem,0.25;0.08-0.25;0.03-0.1;0.165; 0.08; 0.125;0.08,glabrous,glabrous,,,,adjacent;basal,elliptic;compound;oblong;dentate;linear,obtuse,,toothed;elliptic;linear,glabrous,0.4;2,0.7;2,0.9;2,2,raceme;spike,,,,,triangular,pink,,,,hermaphrodite,4,,,,,,insect,,,,,,,,,,   ant;water;   shaken fresh water,,,,,,,,,,,16,tap root,,0.0-10.0,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 13, 'tabular': 14}, 'fna': {'text': 11, 'tabular': 1}}"
Peucedanum palustre,perennial;perennials;strict monocarpic bi-annuals and poly-annuals;hemicryptophyte,,Stem erect ,root-splitters;Little or no vegetative spread,Stems,0.5;1.0; 0.93; 0.5;1.5;0.5-1.5,glabrous,glabrous,,pinnate,,,lanceolate;ovate;compound;oblong;obtuse,acute;subacute;ovate;obtuse,,lobed and toothed;serrulate;ovate,soft hairs,0.5,1.5,0.5,1.5,,,,,,,green,,greenish;white,,,,,,,,,insect,mericarps,,,ovoid;ridges;flat,white,,,,,   shaken fresh water;water;   standing fresh water,,,,,,,,,,,,tap root,,10.0-50.0,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 16, 'tabular': 13}, 'fna': {'tabular': 0}}"
Phalaris arundinacea,perennial;perennials;helophyte,,Stem erect ,rooting horizontal stems at or above soil surface;rhizomes;hypogeogeneous stems;epigeogeneous stems;rhizomatous;plant fragments of stem origin;Rhizome far creeping,rhizomes;rhizomatous,0.6;1.45;0.6-2;2.0,,,,,,,flat;simple,acute,,entire;serrate;flat;scabrous,glabrous,0.5;1,2;4,10,30,,bisexual,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,bird;water;   sheep;   cattle;domestic animal;   horse;   shaken fresh water;   standing fresh water,hairless,,,,,,,,,,27,fibrous,deep,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 8, 'tabular': 12}, 'fna': {'text': 10, 'tabular': 0}}"
Phleum pratense,perennial;perennials;hemicryptophyte,Beds of large sedges normally without free-standing water,Stem erect ,Tussock forming graminoid;epigeogeneous stems,,0.4-1.5;0.157; 0.585;1.5,,,,,,,flat;pointed;simple,acute,,entire;flat,glabrous,0.8;0.3,45;1,0.3;45,45,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,bird;water;   pig;   sheep;   deer;   car or other vehicle;   mouse;   hay making machinery;   cattle;   horse;domestic animal;   shaken fresh water;   clothes and footwear;   dog,awned;awn;hairless;awns;hairs,,,,,,,,,,42,fibrous,shallow,50.0-100.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 9, 'tabular': 13}, 'fna': {'text': 9, 'tabular': 0}}"
Phragmites australis,perennial;perennials;hydrophyte,,"Stem prostrate ;Stem erect ;Submerged, attached to the substrate;Free-floating plants ;Emergent, attached to the substrate ",hypogeogeneous stems;Rhizome far creeping;epigeogeneous stems;rhizomatous,rhizomatous,2.5;0.08;3.5;1-4;0.005-0.015,,,,,,loose,slender;tapering;points;simple;point;acuminate,acuminate;acute,rounded,entire;acuminate,glabrous,2;1,60;4,15;1,40;60,,bisexual,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,bird;water;   sheep;   standing fresh water;   shaken fresh water;   cattle,hairs,,,,,,,,,,36,adventitious,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 12, 'tabular': 11}, 'fna': {'text': 10, 'tabular': 0}}"
Pimpinella saxifraga,perennial;perennials;hemicryptophyte,Woodland fringes and clearings and tall forb habitats;Perennial calcareous grassland and basic steppes;Regularly or recently cultivated agricultural. horticultural and domestic habitats;Grassland and tall forb habitats;Dry grasslands;Coniferous woodland,Stem erect ,root-splitters;Little or no vegetative spread,stem;Stem,0.3-1;0.3;0.29; 0.3; 0.65;1.0,soft hairs,soft hairs,,pinnate,,,compound;pinnate,acute,,toothed,soft hairs,,,,,,,,,,,white,,white,,hermaphrodite,,,,,,,insect,mericarps,,,ovoid;slender;ridges;laterally compressed,brown,,,,,water;   sheep;   cattle;domestic animal;   shaken fresh water;   clothes and footwear;   commerce,,,2,01-Oct,,,,,,,,fibrous;tap root,deep,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 10, 'tabular': 16}, 'fna': {'tabular': 0}}"
Pinguicula lusitanica,perennial;hemicryptophyte,,Stem erect ,seeds;Little or no vegetative spread,,0.15;0.03;0.09; 0.03,,,,,,,slender;emarginate;simple;involute;oblong,emarginate;obtuse,,entire;involute,glandular,0.8,1,2.5,3,,,,,,,pale violet,,,,hermaphrodite,,,,,,,selfed,,,,,,,,,,,hairs,,,,0.2,0.65,0.2,0.65,,,,adventitious,shallow,,"{'leda': {'tabular': 2}, 'ecoflora': {'text': 14, 'tabular': 12}, 'fna': {'tabular': 0}}"
Pinguicula vulgaris,perennial;perennials;hemicryptophyte,Tundra;Alpine and subalpine grasslands,Stem erect ,bud;Little or no vegetative spread;epigeogeneous stems;bulbs,,0.1; 0.05; 0.035; 0.01;0.15;0.05;0.05;0.02;0.15,glandular,,,,,,simple,obtuse,,entire,,,,,,,,,,,,violet,,,,hermaphrodite,2,,,,,,insect,,,,,,,,,,   shaken fresh water;water,,,140,100-1000,,,,,,,,adventitious,shallow,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 5, 'tabular': 13}, 'fna': {'tabular': 0}}"
Plantago coronopus,perennial;biennials;Annuals;therophyte;annuals;annual,"Coastal dune and sand habitats;Moist, gravelly or sandy soils.",Stem erect ,plant fragments of stem origin;Seeds;Little or no vegetative spread;root-splitters;seeded,taproots;Stems,0.045; 0.04; 0.0; 0.06;0.12;0.0025,pubescent;glabrous;soft hairs,soft hairs,,,,spirally;rosettes,lanceolate;linear;simple,acute,,entire;linear;lobed,glabrate;soft hairs,0.5;2,6;1.5,8;2,6;12,spike,,,4-merous,,cylindrical,brown,,,,hermaphrodite,4,,,,,,wind,,,,,,,,,,   rabbit;water;   car or other vehicle;domestic animal;   shaken fresh water,hairs,,one;5,1-10;1,1,1.5,1,1.5,2;4;1;one,,10,taproots;tap root,deep,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 13, 'tabular': 16}, 'fna': {'text': 20, 'tabular': 1}}"
Plantago lanceolata,perennial;perennials;annuals;hemicryptophyte;Perennials;strict monocarpic bi-annuals and poly-annuals,"Woodland fringes and clearings and tall forb habitats;Perennial calcareous grassland and basic steppes;Coniferous woodland;Grassland and tall forb habitats;Dry grasslands;Roadsides, trails, lawns, urban areas, other disturbed sites.;Woodland and forest habitats and other wooded land",Stem erect ,epigeogeneous stems;adventitious buds on roots;Rhizome shortly creeping;Seeds;root-splitters;seeded,Stems,0.4;0.15;0.07; 0.15; 0.275,pubescent;glabrous;soft hairs,soft hairs,,,,spirally;rosettes,oblanceolate;lanceolate;ovate;simple,acute;ovate,,entire;ovate,glabrous;soft hairs,15;2.5,4.5;30,15;3,30,spike,,,4-merous,,,brown,,,,hermaphrodite,4,,,,,,wind,,,,,,,,,,bird;water;   sheep;   goat;   car or other vehicle;   hay making machinery;   cattle;domestic animal;   shaken fresh water;   clothes and footwear;   commerce;   erosion material,filaments;hairs,,2,1-10;1,3,4,3,4,1;2,,12,fibrous;tap root,deep,50.0-100.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 14, 'tabular': 17}, 'fna': {'text': 20, 'tabular': 1}}"
Plantago maritima,perennial;perennials;annuals;hemicryptophyte;Perennials,"Marine shorelines, crevices of large rocks in sea spray, coastal and inland salt marshes, alkaline and saline flats, roadsides.;Coastal saltmarshes and saline reedbeds",Stem erect ,root-splitters;seeded;Little or no vegetative spread;Seeds,taproots;Stem;Stems,0.4; 0.175; 0.12;0.4,pubescent;glabrous;soft hairs,soft hairs,,,,spirally;rosettes,broad;lanceolate;linear;simple,acute,fleshy,entire;linear,glabrous,1;1.5,1.5;30,1;1.5,22;30,spike,,,4-merous,,cylindrical,brown,,,,hermaphrodite,2;4,,,,,,wind,,,,,,,,,,   car or other vehicle;water;domestic animal;bird,filaments;hairs,,one;1-3,one;1-3;1-10,1.5,3,1.5,3,one;1-3,,24,taproots,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 20, 'tabular': 13}, 'fna': {'text': 20, 'tabular': 1}}"
Platanthera bifolia,perennials;geophyte,[Abies] and [Picea] woodland;[Pinus sylvestris] woodland south of the taiga,Stem erect ,Little or no vegetative spread;root tubers below ground,tubers;Stem,0.16;0.15;0.3,glabrous,glabrous,,,,,blunt;simple,acute,,entire,,3,4,9,15,spike,,,,,cylindrical,greenish;white;green-white,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 9, 'tabular': 11}, 'fna': {'tabular': 0}}"
Poa annua,perennial;therophyte;perennials;annuals;annual;strict monocarpic bi-annuals and poly-annuals,,Stem erect ;Stem prostrate ;Stem ascending to prostrate ,rooting horizontal stems at or above soil surface;stoloniferous;epigeogeneous stems;rhizomatous;Little or no vegetative spread,stoloniferous;rhizomatous,0.085;0.05;0.3;0.05-0.3,,,,,,,folded;simple;flat;blunt;pointed,acute,,entire;flat;scabrous,glabrous,0.1;0.3,0.6;14,0.1;1,10;14,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,   ant;   roe;   rabbit;bird;   sheep;   pig;water;   deer;   car or other vehicle;   hay making machinery;   cattle;   horse;domestic animal;   clothes and footwear;   hare;   erosion material;   wild boar,hairless,,,,,,,,,,28,adventitious,shallow,10.0-50.0,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 8, 'tabular': 13}, 'fna': {'text': 10, 'tabular': 0}}"
Poa pratensis,perennial;perennials;hemicryptophyte,Grassland and tall forb habitats,Stem erect ;Stem ascending to prostrate ,stoloniferous;hypogeogeneous stems;epigeogeneous stems;rhizomatous;bulb;creeping,stem;stoloniferous;bulb;rhizomatous,0.5;0.8;0.3;0.15-0.8,,,,,,erect;cauline;adaxial;abaxial,slender;folded;straight;simple;involute;flat;blunt;pointed,straight;acute,,scabrous;straight;entire;involute;flat,glabrous,0.4;0.04,0.6;0.45,0.02;30,10;30,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,   rabbit;water;   pig;   sheep;   deer;   car or other vehicle;   hay making machinery;   horse;   cattle;domestic animal;   donkey;   mammal;   erosion material;   wild boar,hairs;hairless,,,,,,,,,,27,fibrous,deep,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 10, 'tabular': 11}, 'fna': {'text': 14, 'tabular': 0}}"
Poa subcaerulea,perennial;perennials;hemicryptophyte,,Stem erect ,Rhizome far creeping;rhizomes,rhizomes,0.1-0.4;0.27; 0.135;0.3;0.2,,,,,,,blunt;pointed;simple,acute,,entire,glabrous,,,,,,,,,,,green,,,,,,,,,,,wind,,,,,,,,,,domestic animal,hairs,,,,,,,,,,,fibrous,,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 6, 'tabular': 10}, 'fna': {'tabular': 0}}"
Poa trivialis,perennial;hemicryptophyte,Broadleaved deciduous woodland,Stem erect ,rooting horizontal stems at or above soil surface;stoloniferous;Tussock forming graminoid;epigeogeneous stems,stems;stoloniferous,0.2-1;0.6;0.2,,,,,,,folded;simple;pointed;flat,acute,,entire;flat;scabrous,glabrous,0.15;0.1,0.6;0.5,3,20,,bisexual,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,bird;water;   pig;   sheep;   car or other vehicle;   hay making machinery;   horse;   cattle;domestic animal;   donkey;   dog;   erosion material;   wild boar,hairs;hairless,,,01-Oct,,,,,,,14,fibrous,shallow,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 10, 'tabular': 13}, 'fna': {'text': 8, 'tabular': 0}}"
Polygala serpyllifolia,perennial;perennials;chamaephyte,Non-Mediterranean dry acid and neutral closed grassland,Stem erect ;Stem prostrate ;procumbent;Stem ascending to prostrate ,root-splitters;Little or no vegetative spread;Seed,Stems,0.3; 0.075;0.3;0.1-0.3,,,,,,opposite,elliptic;lanceolate;ovate;simple,acute;ovate,,entire;elliptic;ovate,,,,,,,,,,,,blue;pink;white,,,,hermaphrodite,,,,,,,insect,capsule,,,,,,,,,   ant;   cattle,,,,,2.5,2.5,2.5,2.5,,,,tap root,,0.0-10.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 15, 'tabular': 11}, 'fna': {'tabular': 0}}"
Polygala vulgaris,perennial;perennials;chamaephyte,Grassland and tall forb habitats;Moist and wet dune slacks,Stem erect ;Stem ascending to prostrate ,root-splitters;Seeds;Little or no vegetative spread,Stems,0.09; 0.04; 0.03;0.03;0.05;0.1-0.3,glabrous,glabrous,,,,alternate,linear;lanceolate;obovate;simple,acute,,entire;linear,,0.5,3.5,0.5,3.5,,,,,,,blue;pink;white,,,,hermaphrodite,,,,,,,insect,capsule,,,orbicular,green,,,,,   ant;water;   mouse;   cattle,,,2,01-Oct,2.5,2.5,2.5,2.5,,,,,,10.0-50.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 20, 'tabular': 14}, 'fna': {'tabular': 0}}"
Polygonum amphibium,perennial;perennials;hydrophyte,terrestrial;Aquatic;Terrestrial,"Floating leaves, attached to the substrate ;Stem erect ;Emergent, attached to the substrate ;Stem ascending to prostrate ",Rhizome far creeping;hypogeogeneous stems;rhizomatous,stems;rhizomatous,0.75;0.3;0.525; 0.3; 0.475,pubescent;glabrous;soft hairs,soft hairs,,,,terminal;alternate,lanceolate;ovate;simple;truncate;oblong;obtuse,acute;ovate;subcordate;subacute;obtuse,subcordate;rounded,entire;ciliate;ovate,soft hairs,1,4,4,15,,,,,,,red;pink,,,,hermaphrodite,5,,,,,,insect,,,,orbicular;biconvex,brown,,,,,bird;water;   shaken fresh water;   standing fresh water,,,,10-100,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 18, 'tabular': 13}, 'fna': {'tabular': 0}}"
Polygonum hydropiper,annuals;therophyte;annual,,"Stem erect ;Emergent, attached to the substrate ",Little or no vegetative spread,stems,0.25;0.75;0.5; 0.4; 0.25,glabrous,glabrous,,,,,lanceolate;simple,acute,,entire;ciliate,glabrous,5,10,5,10,,,,,,slender,greenish;green,,,,hermaphrodite,,,,,,,selfed,,,,ovoid;biconvex,black;brown,,,,,   car or other vehicle;water;bird,,,1,1,,,,,,,,,,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 13, 'tabular': 14}, 'fna': {'tabular': 0}}"
Polygonum viviparum,perennial;perennials;hemicryptophyte,Tundra;Alpine and subalpine grasslands,Stem erect ,epigeogeneous stems;bulbils;Rhizome shortly creeping;plantlets (pseudovivipary);Rhizome,Stems;stem;Rhizome,0.06;0.3;0.125; 0.03,glabrous,glabrous,,,sessile,,lanceolate;linear;simple;cuneate,obtuse;cuneate,cuneate,entire;linear;cuneate,glabrous,1.5,7,1.5,7,,,,,,slender,pink;white;purplish,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,   shaken fresh water;water,,,,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 15, 'tabular': 12}, 'fna': {'tabular': 0}}"
Potamogeton coloratus,perennial;hydrophyte,aquatic,"Floating leaves, attached to the substrate ;Submerged, attached to the substrate",Irregularly fragmenting (mainly water plants);Rhizomes;hypogeogeneous stems;rhizomatous,Rhizomes;stems;rhizomatous,0.02,glabrous,glabrous,,,,,lanceolate;linear;ovate;simple,acute;ovate,,entire;linear;ovate,glabrous,1,5,7,18,,,,,actinomorphic,,green,,,,hermaphrodite,4,,,,,,wind,,,,,,,,,,bird;water,,,,,,,,,,,,,,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 13, 'tabular': 11}, 'fna': {'tabular': 0}}"
Potamogeton polygonifolius,perennial;hydrophyte,Permanent non-tidal. slow. smooth-flowing watercourses;aquatic,"Floating leaves, attached to the substrate ;Submerged, attached to the substrate",hypogeogeneous stems;rhizomatous;plant fragments of stem origin;Irregularly fragmenting (mainly water plants);Rhizomes,Rhizomes;stems;rhizomatous,0.02,glabrous,glabrous,,,,,lanceolate;simple;cuneate,acute;cuneate,cordate;cuneate,entire;cuneate,glabrous,1,4,6,20,,,,,actinomorphic,,green,,,,hermaphrodite,4,,,,,,wind,,dry,,obovoid,,,,,,bird;water;   shaken fresh water,,,,,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 16, 'tabular': 11}, 'fna': {'tabular': 0}}"
Potentilla anserina,Perennial;perennials;hemicryptophyte,,Stem erect ;Stem prostrate ;procumbent,rooting horizontal stems at or above soil surface;epigeogeneous stems;Far creeping stolons in illuminated medium;adventitious buds on roots;stolons,stolons,0.2-0.5;0.05; 0.325; 0.02;0.02;0.08;0.15;0.0015-0.0035,,,,pinnate,,alternating,compound,acute,,toothed,soft hairs,7,15,7,15,,,,5-merous,,elliptic;ovate;dentate;linear;triangular,yellow,,yellow,,hermaphrodite,,,,,,,insect,,,,,,,,,,   ant;bird;water;   car or other vehicle;domestic animal,filaments;hairs,,50,10-100,,,,,,,,tap root,deep,10.0-50.0,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 13, 'tabular': 15}, 'fna': {'text': 3, 'tabular': 0}}"
Potentilla erecta,perennial;perennials;hemicryptophyte,"Woodland fringes and clearings and tall forb habitats;Moist, mossy flats and slopes, acidic soil;Mixed taiga woodland with [Betula];Grassland and tall forb habitats;Dry grasslands;Broadleaved deciduous woodland;Coniferous woodland",Stem erect ;Stem ascending to prostrate ,Little or no vegetative spread;epigeogeneous stems,stem;stems;Stems,0.3;0.2; 0.1;0.1;0.01-0.08;0.01-0.03,,,,,sessile;palmate;palmately,Basal;proximal;cauline;terminal;loose;distal;Cauline,oblanceolate;obovate;ovate;lobed;serrate;compound;truncate;oblong;cuneate,obtuse;lobed;ovate;cuneate,cuneate,incised;ovate;serrate;toothed;dentate;cuneate,glabrous;soft hairs,0.15;1,15;45,0.15;1,15;45,,,,4-merous;6-merous,,,yellow,,yellow,,hermaphrodite,16;15,,,8,,,insect,,,,,,,,,,   ant;bird;water;   cattle;domestic animal;   shaken fresh water;   commerce,filaments;hairs,,8,01-Oct,,,,,,,28,tap root,shallow,50.0-100.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 18, 'tabular': 15}, 'fna': {'text': 12, 'tabular': 1}}"
Potentilla palustris,perennial;perennials;helophyte,Cultivated areas of gardens and parks,Stem erect ;Stem ascending to prostrate ,Rhizome far creeping;epigeogeneous stems;rhizome,rhizome;Stems,0.15;0.3; 0.15; 0.6;0.45,,,,pinnate,,,compound,acute,,toothed,glabrous,,,,,cyme,,,5-merous,,,purple,,purple,,hermaphrodite,,,,,,,insect,,,,,,,,,,bird;water;   standing fresh water;domestic animal;   shaken fresh water;   commerce,,,,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 7, 'tabular': 10}, 'fna': {'tabular': 0}}"
Potentilla reptans,perennial;perennials;hemicryptophyte,"Dry to moist lawns, roadsides, waste places, on non-acidic soil",Stem erect ;Stem ascending to prostrate ,rooting horizontal stems at or above soil surface;Far creeping stolons in illuminated medium;stolon;epigeogeneous stems,stems;stolon;Stems,0.02-0.06;1.0;0.3;0.65; 0.125; 0.3,,,,,palmate,Basal;proximal;Cauline,compound,obtuse,,toothed,subglabrous,8,30,8,30,solitary flowers;cyme,,,5-merous,,slender,yellow,,yellow,,hermaphrodite,20,,,60-1.2e+02,,,insect,,,,,,,,,,   ant;water;   mouse;   cattle;   shaken fresh water;domestic animal;   erosion material,filaments;hairs,,,,,,,,,,28,tap root,,10.0-50.0,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 10, 'tabular': 12}, 'fna': {'text': 13, 'tabular': 1}}"
Primula farinosa,perennial;perennials;hemicryptophyte,Rich fens. including eutrophic tall-herb fens and calcareous flushes and soaks,Stem erect ,Little or no vegetative spread;epigeogeneous stems,,0.01-0.05;0.2;0.2; 0.1,glabrous,,,,,,simple,obtuse,,crenate,glabrous,,,,,umbel,,,,,,lilac,,,,hermaphrodite,,,,,,Yes,insect,,,,cylindrical,,,,,,   shaken fresh water,,,,10-100,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 7, 'tabular': 11}, 'fna': {'tabular': 0}}"
Primula vulgaris,perennial;perennials;hemicryptophyte,,Stem erect ,Seeds;Little or no vegetative spread;epigeogeneous stems;Rhizome,Rhizome,0.115,,,,,,,simple;obovate;obtuse,obtuse,,toothed;serrate,glabrous;soft hairs,15,20,15,20,umbel,,,,,,pink;pale yellow;yellow,,,,hermaphrodite,,,,,,,insect,,,,ovoid,,,,,,   ant;   commerce;   horse,hairs,,58,10-100,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 15, 'tabular': 11}, 'fna': {'tabular': 0}}"
Prunella vulgaris,perennial;perennials;annuals;hemicryptophyte;strict monocarpic bi-annuals and poly-annuals,Grassland and tall forb habitats;Dry grasslands;Woodland fringes and clearings and tall forb habitats;Broadleaved deciduous woodland,Stem erect ;Stem prostrate ;Stem ascending to prostrate ,Shortly creeping and rooting at nodes;rooting horizontal stems at or above soil surface;epigeogeneous stems;rhizome,rhizome;Stems,0.175; 0.05; 0.145;0.05;0.3,pubescent;soft hairs,soft hairs,,,,,dentate;simple;ovate;cuneate,acute;ovate;cuneate,rounded;cuneate,entire;ovate;cuneate,soft hairs,2,5,2,5,spikes,,,,,oblong,violet,,,,gynomonoecious,4,,,,,,insect,,,,,,,,,,   ant;bird;water;   pig;   deer;   car or other vehicle;   hay making machinery;   cattle;   horse;domestic animal;   shaken fresh water;   clothes and footwear;   commerce;   erosion material,hairs,,4,01-Oct,,,,,,,,,shallow,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 16, 'tabular': 15}, 'fna': {'tabular': 0}}"
Prunus spinosa,perennials;phanerophyte,Roadsides,Stem erect ;Shrubs;shrub,buds;adventitious buds on roots;Buds;Clones formed by suckering from roots;suckering,,1-4;0.26; 4.0; 2.0; 1.0; 2.5;4.0;1.0,thorns,thorns,,,,abaxial;adaxial,oblanceolate;elliptic;obovate;obtuse;simple;serrate;blunt;oblong;cuneate,obtuse;acute;cuneate,rounded;cuneate,elliptic;crenulate;serrulate;serrate;toothed;cuneate,glabrate;soft hairs,2;1,2.2;4,2;1.5,4,solitary flowers,,,,,,white,,black;blue;white;greenish,,hermaphrodite,,,,,,,insect,,,,,,,,,,bird;water;man;   mouse;   hare,,,1,1,,,,,,,32,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 12, 'tabular': 14}, 'fna': {'text': 15, 'tabular': 1}}"
Pulicaria dysenterica,perennial;perennials;hemicryptophyte,Bare tilled. fallow or recently abandoned arable land,Stem erect ,Rhizome far creeping;hypogeogeneous stems;rhizomatous,stem;stems;rhizomatous,0.5;0.6;0.45;0.2,hairy;soft hairs,soft hairs,,,sessile,Basal,oblong;lanceolate;simple,acute,cordate,entire,soft hairs,,,,,capitula;corymb,,,,,,yellow,,,,gynomonoecious,,,,,,,insect,,,,,,,,,,   ant;   shaken fresh water,pappus;hairs,,,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 11, 'tabular': 12}, 'fna': {'tabular': 0}}"
